#r   U_mean  k   eps
187
0.0000000000000000E+00   1.3071157760601866E+00   3.6549875626362949E-03   1.9164963247592368E-03
1.0645109478833792E-02   1.3068766172769839E+00   3.6640162553646608E-03   1.9253640959055109E-03
2.1063892792516081E-02   1.3061834203674307E+00   3.6902209293614599E-03   1.9352206471674523E-03
3.1261168618286317E-02   1.3050747075884999E+00   3.7322669362445243E-03   1.9549320527737016E-03
4.1241653186384120E-02   1.3035878112393371E+00   3.7890238149044003E-03   1.9829069704071552E-03
5.1009962461301572E-02   1.3017574295997998E+00   3.8592272559095082E-03   2.0195899860080868E-03
6.0570614276662105E-02   1.2996141378311696E+00   3.9416671635248866E-03   2.0610207706572930E-03
6.9928030424714571E-02   1.2971824014603068E+00   4.0350237108046907E-03   2.1085038566629765E-03
7.9086538701407028E-02   1.2944827829173211E+00   4.1374847753611662E-03   2.1602742403376385E-03
8.8050374907989115E-02   1.2915361554413567E+00   4.2472886244742849E-03   2.2192971127429021E-03
9.6823684810065813E-02   1.2883642965116424E+00   4.3632765706548213E-03   2.2843367149645421E-03
1.0541052605500972E-01   1.2849900420104803E+00   4.4846078541001385E-03   2.3546661096700582E-03
1.1381487004861934E-01   1.2814368568966574E+00   4.6103006311445502E-03   2.4309288305056878E-03
1.2204060379189041E-01   1.2777273867818022E+00   4.7395697009086210E-03   2.5101529845843458E-03
1.3009153167874987E-01   1.2738822849574709E+00   4.8717869456723559E-03   2.5932407468517477E-03
1.3797137725558456E-01   1.2699198669540341E+00   5.0064211748726125E-03   2.6796120320351285E-03
1.4568378494337819E-01   1.2658557218719861E+00   5.1432640318880606E-03   2.7715213682358028E-03
1.5323232172325185E-01   1.2617038732384518E+00   5.2823580250813962E-03   2.8671344745841180E-03
1.6062047878618985E-01   1.2574777238341972E+00   5.4235357747717382E-03   2.9658431389675984E-03
1.6785167314771210E-01   1.2531896080776170E+00   5.5662576575968214E-03   3.0701911079411602E-03
1.7492924922824005E-01   1.2488502372455450E+00   5.7100115998758878E-03   3.1778622391861904E-03
1.8185648039988861E-01   1.2444686589644074E+00   5.8546983754789068E-03   3.2902151760085619E-03
1.8863657050039717E-01   1.2400525992934326E+00   6.0001306475305589E-03   3.4037971074637884E-03
1.9527265531490157E-01   1.2356095379069312E+00   6.1461482940418088E-03   3.5202409169139367E-03
2.0176780402623157E-01   1.2311466217101874E+00   6.2927953711537843E-03   3.6418022352419409E-03
2.0812502063440513E-01   1.2266703616206687E+00   6.4403249721446650E-03   3.7668629230360579E-03
